0,1
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8785.tif,4886c67d22c14e18198ef58cc8f54099
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8786.tif,689d9aa19f8ceba08beb32f357e1b05c
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8787.tif,04ffd6814c6de25bf5d71f57175ee48b
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/i2i3_scoring/210908-images/_DSC8788.tif,caf2ff16b6ddb86b5da1a32fd8724a02
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211117-images/_DSC0175.tif,52c08a3c525e8b2d6e54e067fb995ade
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211111-images/_DSC0138.tif,a44d9af0a8727a03c0bec1c0f36c2144
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211111-images/_DSC0139.tif,611c46b241574e91e213bb72ab62f16f
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211106-images/_DSC0024.tif,76283284578a47456a8ee8e813cdffb5
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Data_link_test/211106-images/_DSC0023.tif,4cf388b71dbdf78f2355a202b5ba2311
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/i2i3_scoring/210908-images/_DSC8785.tif,4886c67d22c14e18198ef58cc8f54099
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/i2i3_scoring/210908-images/_DSC8786.tif,689d9aa19f8ceba08beb32f357e1b05c
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/i2i3_scoring/210908-images/_DSC8787.tif,04ffd6814c6de25bf5d71f57175ee48b
/Volumes/shared/Research-Groups/Mark-Banfield/Josh_Williams/Raw_Data_Adam/Rescored/i2i3_scoring/210908-images/_DSC8788.tif,caf2ff16b6ddb86b5da1a32fd8724a02
